1. Psalm 23:1|The Lord is my shepherd; I shall not want.
2. Philippians 4:13|I can do all things through Christ who strengthens me.
3. Romans 8:28|And we know that in all things God works for the good of those who love him, who have been called according to his purpose.
4. Jeremiah 29:11|For I know the plans I have for you, declares the Lord, plans for welfare and not for evil, to give you a future and a hope.
5. Matthew 11:28|Come to me, all who labor and are heavy laden, and I will give you rest.
6. Isaiah 41:10|Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand.
7. Proverbs 16:9|The heart of man plans his way, but the Lord establishes his steps.
8. 1 Corinthians 16:14|Let all that you do be done in love.
9. Romans 12:2|Do not conform to the pattern of this world, but be transformed by the renewing of your mind. Then you will be able to test and approve what God’s will is—his good, pleasing and perfect will.
10. Ephesians 2:8-9|For by grace you have been saved through faith. And this is not your own doing; it is the gift of God, not a result of works, so that no one may boast.
11. Psalm 46:1|God is our refuge and strength, a very present help in trouble.
12. John 14:6|Jesus answered, “I am the way and the truth and the life. No one comes to the Father except through me.
13. 1 John 1:9|If we confess our sins, he is faithful and just to forgive us our sins and to cleanse us from all unrighteousness.
14. Galatians 5:22-23|But the fruit of the Spirit is love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness, and self-control. Against such things there is no law.
15. Psalm 119:105|Your word is a lamp for my feet, a light on my path.
16. James 1:5|If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him.
17. 2 Timothy 3:16-17|All Scripture is breathed out by God and profitable for teaching, for reproof, for correction, and for training in righteousness, that the man of God may be complete, equipped for every good work.
18. 1 Peter 5:7|Cast all your anxiety on him because he cares for you.
19. Matthew 6:33|But seek first his kingdom and his righteousness, and all these things will be given to you as well.
20. Psalm 19:14|May these words of my mouth and this meditation of my heart be pleasing in your sight, Lord, my Rock and my Redeemer.
